2026-01-12 20:35:32 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 20:35:32 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 20:35:32 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 20:35:35 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 20:35:35 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 20:36:14 - User: admin | Activity: LOGIN_SUCCESS
2026-01-12 20:36:15 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 20:36:15 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 20:36:16 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 20:36:20 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 20:36:27 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 20:36:30 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 20:36:39 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 20:36:48 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 20:36:53 - User: admin | Activity: VIEWED_QUERY - device_query
